"PARENT COMPANY","year","GHG"
"VOGEL HOLDING INC","2016",67841
"VOGEL HOLDING INC","2017",68340
"VOGEL HOLDING INC","2018",55948
"VOGEL HOLDING INC","2019",53253
"VOGEL HOLDING INC","2020",54056
"VOGEL HOLDING INC","2021",49635
"VOGEL HOLDING INC","2022",55101
"VOLT PARENT LP","2019",40168523.325
"VOLT PARENT LP","2020",44574109.36
"VOLT PARENT LP","2021",42828661.905
"VOLT PARENT LP","2022",10172253.75
"VOLTAGE FINANCE LLC","2015",89376.5
"VOLTAGE FINANCE LLC","2016",62310.5
"VOLTAGE FINANCE LLC","2017",64921
"VOLTAGE FINANCE LLC","2018",67179.5
"VOLTAGE FINANCE LLC","2019",76536
"VOLTAGE FINANCE LLC","2020",80492.25
"VOLTAGE FINANCE LLC","2021",79887
"VOLTAGE FINANCE LLC","2022",68496.25
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2015",254719
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2016",284449
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2017",304029
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2018",298892
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2019",240469
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2020",296760
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2021",336659
"VOLUSIA COUNTY BOARD OF COUNTY COMMISSIONERS","2022",420466
"VOLVO GROUP TRUCK OPERATIONS","2022",28452
"VONCO II LLC","2016",148709
"VONCO II LLC","2017",156166
"VONCO II LLC","2018",163067
"VONCO II LLC","2019",169461
"VONCO II LLC","2020",176513
"VONCO II LLC","2021",204901
"VONCO II LLC","2022",216506
"VOPAK TERMINALS NORTH AMERICA INC","2022",6101
"VOTORANTIM CIMENTOS NORTH AMERICA","2011",123172
"VOTORANTIM CIMENTOS NORTH AMERICA","2012",142916
"VOTORANTIM CIMENTOS NORTH AMERICA","2013",180067
"VOTORANTIM CIMENTOS NORTH AMERICA","2014",228530.5
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2015",1241061
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2016",1240606.5
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2017",1052517
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2018",919630
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2019",1193691
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2020",1445345
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2021",1426484
"VOTORANTIM CIMENTOS NORTH AMERICA INC","2022",1371765
"VSI HOLDINGS LLC","2011",88652
"VSI HOLDINGS LLC","2012",92983
"VSI HOLDINGS LLC","2013",99311
"VSI HOLDINGS LLC","2014",100715
"VSI HOLDINGS LLC","2015",81878
"VSI Holdings LLC","2010",84182
"VULCAN MATERIALS CO","2011",475993
"VULCAN MATERIALS CO","2012",583183
"VULCAN MATERIALS CO","2013",636280
"VVF INTERVEST LLC","2011",47439
"VVF INTERVEST LLC","2012",45464
"VVF INTERVEST LLC","2013",43983
"VVF INTERVEST LLC","2014",44422
"VVF INTERVEST LLC","2015",42398
"VVF INTERVEST LLC","2016",37572
"VVF INTERVEST LLC","2017",42675
"VVF INTERVEST LLC","2018",29794
"VVF Intervest LLC","2010",49623
"Val Verde Gas Gathering Company L.P.","2010",27994
"Val Verde Gas Gathering Company LP","2010",232589
"Vale SA","2010",83826
"Valence Operating Company","2011",111890
"Valence Operating Company","2012",108067
"Valence Operating Company","2013",152509
"Valence Operating Company","2014",143481
"Valero","2010",94667
"Valero Corporation","2010",189618
"Valero Energy","2011",175099
"Valero Energy","2012",163147
"Valero Energy","2013",175373
"Valero Energy","2014",168845
"Valero Energy Coporation","2011",168758
"Valero Energy Coporation","2012",100429
"Valero Energy Coporation","2013",154050
"Valero Energy Coporation","2014",176584
"Valero Energy Corp","2019",88638
"Valero Energy Corporation","2010",21367666
"Valero Energy Corporation","2011",1128794
"Valero Energy Corporation","2012",1006847
"Valero Energy Corporation","2013",1066375
"Valero Energy Corporation","2014",1047729
"Valero Renewable Fuels Company, LLC","2010",183762
"Validus Energy","2021",266572
"Validus Energy LLC","2021",77934
"Valley Proreins, Inc","2011",47078
"Valley Proreins, Inc","2012",51850
"Valley Proteins","2022",68939
"Valley Proteins, Inc","2010",42089
"Valley Proteins, Inc","2013",52077
"Valley Proteins, Inc","2014",52489
"Vallourec Star","2013",183224
"Vallourec Star","2014",238167
"Vallourec Star, LP","2014",30107
"Van Buren Energy LLC","2022",202609
"Vanderbilt University Board of Trust","2010",159687
"Vanguard Natural Resources, INCORPORATED","2014",367977
"Vanguard Natural Resources, Inc.","2011",23009
"Vanguard Natural Resources, Inc.","2012",25175
"Vanguard Natural Resources, Inc.","2013",22497
"Vanguard Natural Resources, LLC","2011",423364
"Vanguard Natural Resources, LLC","2012",372406
"Vanguard Natural Resources, LLC","2013",293157
"Vanguard Natural Resources, LLC","2014",94833
"Vanguard Operating, LLC","2014",6357
"Vantage Energy II, LLC","2014",71636
"Vantage Energy, LLC","2014",74523
"Vantage Oleochemicals Inc.","2011",42271
"Vantage Oleochemicals Inc.","2012",42665
"Vantage Oleochemicals Inc.","2013",44221
"Vantage Oleochemicals Inc.","2014",46436
"Vantage Specialty Chemicals","2010",41974
"Vaquero Permian Gathering LLC","2017",71992
"Vaquero Permian Processing LLC","2018",48500
"Vector Pipeline","2010",65769
"Vector Pipeline, LP","2010",240120
"Vectren","2010",2189502
"Vectren Corporation","2010",2216460
"Vectren Fuels","2011",509661
"Vectren Fuels","2012",625047
"Vectren Fuels","2013",775985
"Venator Materials LLC","2018",131426.5
"Vencer Energy LLC","2021",19081
"Venoco Inc.","2010",63708
"Venoco Inc.","2011",191278
"Venoco Inc.","2012",72190
"Venoco Inc.","2013",72134
"Venoco Inc.","2014",71432
"Ventura Refining and Transmission, LLC","2010",12858
"Ventura Regional Sanitation District","2010",109717.74
"Ventura Regional Sanitation District","2011",113923.6
"Ventura Regional Sanitation District","2012",108476.98
"Ventura Regional Sanitation District","2013",88810.9
"Ventura Regional Sanitation District","2014",122632.69
"Venture Global LNG INC","2021",69659
"Veolia Environement North America Operations","2011",25649
"Veolia Environement North America Operations","2012",22476
"Veolia Environement North America Operations","2013",25040
"Veolia Environement North America Operations","2014",24537
"Veolia Environment North American Operations, Inc","2011",43671
"Veolia Environment North American Operations, Inc","2012",37998
"Veolia Environment North American Operations, Inc","2013",44768
"Veolia Environment North American Operations, Inc","2014",50265
"Veolia Environnement North America Operations","2011",203619
"Veolia Environnement North America Operations","2012",192351
"Veolia Environnement North America Operations","2013",215706
"Veolia Environnement North America Operations","2014",200306
"Veolia Environnement North America Operations, Inc","2010",825608
"Veolia Environnement North America Operations, Inc","2011",876454
"Veolia Environnement North America Operations, Inc","2012",811491
"Veolia Environnement North America Operations, Inc","2013",847753
"Veolia Environnement North America Operations, Inc","2014",857180
"Veolia Environnement North America Operations, Inc.","2010",2408401
"Veolia Environnement North America Operations, Inc.","2011",501402
"Veolia Environnement North America Operations, Inc.","2012",101886
"Veolia Environnement North America Operations, Inc.","2013",98995
"Veolia Environnement North America Operations, Inc.","2014",115604
"Veolia Environnment North America Operations, Inc.","2010",121059
"Veolia Environnment North America Operations, Inc.","2011",70546
"Veolia Environnment North America Operations, Inc.","2012",68090
"Veolia Environnment North America Operations, Inc.","2013",68416
"Veolia North America","2018",304237
"Veolia North America Inc.","2014",66643
"Verdad Resources LLC","2018",87416
"Verdun Oil Co","2016",28259
"Verdun Oil Co","2019",154164
"Verdun Oil Co","2020",130666
"Verdun Oil Co","2021",195571
"Veresen Inc.","2010",288484.5
"Veresen U.S. Power Inc.","2010",138530
"Veresen U.S. Power, Inc.","2010",57469
"Veris Gold USA, Inc.","2013",40171
"Veris Gold USA, Inc.","2014",47414
"Vermont Public Power Supply Authority","2011",1873.59
"Vermont Public Power Supply Authority","2012",1654.33
"Versado Gas Processing LLC","2010",59107
"Versado Gas Processors LLC","2010",54023
"Verso Corporation","2014",439266
"Verso Paper Corp.","2010",1073468
"Verso Paper Corp.","2011",831313
"Verso Paper Corp.","2012",819786
"Verso Paper Corp.","2013",822009
"Verso Paper Corp.","2014",558429
"Verso Paper Corporation","2010",588410
"Verso Paper Corporation","2011",615653
"Verso Paper Corporation","2012",550564
"Verso Paper Corporation","2013",472536
"Versum Materials US, LLC","2016",278384
"Vertellus Holdings LLC","2016",83336
"Vesco Energy Services LLC","2010",188991
"Veyance Technologies, Inc","2011",28725
"Veyance Technologies, Inc","2012",26228
"Veyance Technologies, Inc","2013",16357
"Veyance Technologies, Inc","2014",15552
"Veyance Technologies, Inc.","2010",22667
"Viatris Inc","2021",27448
"Vicinity Energy","2019",69727
"Vicinity Energy","2020",171260
"Vicinity Energy Inc","2021",31641
"Vicinity Energy LLC","2019",822995
"Vicinity Energy LLC","2020",718051
"Victoria City Power LLC","2019",913
"Victoria Port Power LLC","2019",26822
"Viking Energy of Lincoln, LLC","2019",32493
"Viking Energy of McBain, LLC","2019",29301
"Village of Freeport","2010",31314
"Vine Oil & Gas, LP","2014",49133
"Virgin Island Water and Power Authority","2010",375364
"Virgin Islands Water and Power Authority","2011",1009645
"Virgin Islands Water and Power Authority","2012",871875
"Virgin Islands Water and Power Authority","2013",779878
"Virgin Islands Water and Power Authority","2014",724046
"Virtus Holdings, LLC","2015",168049
"Viscofan USA, Inc.","2010",54549
"Viscofan USA,Inc.","2011",54917
"Viscofan USA,Inc.","2012",54525
"Viscofan USA,Inc.","2013",54566
"Viscofan USA,Inc.","2014",57701
"Vishay Intertechnology, Inc","2013",57016
"Vishay Intertechnology, Inc","2015",58476
"Viskase Companies, Inc","2010",46112
"Vista Metals Corp.","2010",28041
"Vistra Corp","2020",91782978
"Vistra Corp","2021",95488849
"Vistra Corp","2022",92420537
"Vistra Energy Corp","2018",114256447.2
"Vistra Energy Corp","2019",102667252.2
"Vitro Flat Glass LLC","2016",419226
"Vitruvian Exploration, LLC","2014",49009
"Vogel Holding INC","2011",31967
"Vogel Holding INC","2012",68787
"Vogel Holding INC","2013",65673
"Vogel Holding INC","2014",95915
"Voltage Finance, LLC","2014",67440
"Volusia County Board of County Commissioners","2010",249971
"Volusia County Board of County Commissioners","2011",221878
"Volusia County Board of County Commissioners","2012",281166
"Volusia County Board of County Commissioners","2013",293693
"Volusia County Board of County Commissioners","2014",260898
"Volvo Group Truck Operations","2021",27527
"Vonco 5, LLC","2012",5599
"Vonco 5, LLC","2013",8943
"Vonco 5, LLC","2014",10909
"Vonco II Corporation","2011",18573
"Vonco II Corporation","2012",23478
"Vonco II Corporation","2013",28469
"Vonco II Corporation","2014",95617
"Vonco II, LLC","2015",123912
"Vopak Terminals North America Inc","2021",4998
"Votorantim Cimentos North America","2010",150447
"Voyager Ethanol, LLC","2011",80606
"Voyager Ethanol, LLC dba Poet Biorefining Emmetsburg","2012",78786
"Voyager Ethanol, LLC dba Poet Biorefining Emmetsburg","2013",80419
"Voyager Ethanol, LLC dba Poet Biorefining Emmetsburg","2014",83121
"Vulcan Materials Company","2010",526383
"W & T OFFSHORE INC","2015",16770.3426
"W & T Offshore, Inc.","2011",20907.1181
"W & T Offshore, Inc.","2012",19040.076
"W & T Offshore, Inc.","2013",17445.1827
"W & T Offshore, Inc.","2014",17937.1599
"W I TAYLOR COUNTY LANDFILL LLC","2022",409290
"W I Taylor County Landfill LLC","2021",419755
"W&T ENERGY VI LLC","2015",75192
"W&T ENERGY VI, LLC","2011",40164
"W&T ENERGY VI, LLC","2012",36622
"W&T ENERGY VI, LLC","2013",34985
"W&T ENERGY VI, LLC","2014",19102
"W&T Energy VI, LLC","2012",29015
"W&T Energy VI, LLC","2013",34788
"W&T Energy VI, LLC","2014",41335
"W&T OFFSHORE INC","2015",149027.716
"W&T OFFSHORE INC","2016",239260.0954
"W&T OFFSHORE INC","2017",208464.8962
"W&T OFFSHORE INC","2018",212185.987
"W&T OFFSHORE INC","2019",440620.2656
"W&T OFFSHORE INC","2020",381780.5971
"W&T OFFSHORE INC","2021",335481.9
"W&T OFFSHORE INC","2022",331404.7
"W&T Offshore, INCORPORATED","2012",4061.75
"W&T Offshore, INCORPORATED","2013",4222.625
"W&T Offshore, INCORPORATED","2014",73354.25
"W&T Offshore, Inc.","2011",140475.608
"W&T Offshore, Inc.","2012",143868.511
"W&T Offshore, Inc.","2013",138334.098
"W&T Offshore, Inc.","2014",102617
"W. A. Moncrief, Jr.","2010",20726.905287
"W. A. Moncrief, Jr.","2011",276225.78003515
"W. A. Moncrief, Jr.","2012",250812.66132285
"W. A. Moncrief, Jr.","2013",143074.4717545
"W. A. Moncrief, Jr.","2014",108244.80723595
"W.E. Power, LLC","2010",3126460.4
"W.E. Power, LLC","2011",4859348.28
"W.E. Power, LLC","2012",3630087.6
"W.E. Power, LLC","2013",4066728.28
"W.R. Grace & Co. - Conn.","2011",98125
"W.R. Grace & Co. - Conn.","2012",98074
"W.R. Grace & Co. - Conn.","2013",119481
"W.R. Grace & Co. - Conn.","2014",137220
"W.R. Grace & Co.-Conn.","2010",141783
"W.R. Grace & Co.-Conn.","2011",135299
"W.R. Grace & Co.-Conn.","2012",137021
"W.R. Grace & Co.-Conn.","2013",133492
"W.R. Grace & Co.-Conn.","2014",127959
"W.R. Grace& Co.-Conn.","2010",100396
"WA MONCRIEF JR","2015",50085.9401166
"WA MONCRIEF JR","2016",240112.53875365
"WA MONCRIEF JR","2017",220783.7585091
"WA MONCRIEF JR","2018",69514.44199632
"WA MONCRIEF JR","2019",57418.99632924
"WA MONCRIEF JR","2020",58468.72515978
"WABASH VALLEY POWER","2011",2249513.58
"WABASH VALLEY POWER","2012",1753022.27
"WABASH VALLEY POWER","2013",1803442.51
"WABASH VALLEY POWER","2014",1677310.1055
"WABASH VALLEY POWER ASSOC","2015",1595977.7865
"WABASH VALLEY POWER ASSOC","2016",1343632.1025
"WABASH VALLEY POWER ASSOC","2017",1012349.068
"WABASH VALLEY POWER ASSOC","2018",1107334.6595
"WABASH VALLEY POWER ASSOC","2019",932643.124
"WABASH VALLEY POWER ASSOC","2020",1131536.142
"WABASH VALLEY POWER ASSOC","2021",891678.0375
"WABASH VALLEY POWER ASSOC","2022",1043388.7745
"WABTEC US RAIL INC","2020",56169
"WABTEC US RAIL INC","2021",42423
"WABTEC US RAIL INC","2022",40786
"WACKER CHEMICAL CO","2017",37593
"WACKER CHEMICAL CO","2018",41978
"WACKER CHEMICAL CORP","2019",43261
"WACKER CHEMICAL CORP","2020",42696
"WACKER CHEMICAL CORP","2021",42066
"WACKER CHEMICAL CORP","2022",48151
"WAFERTECH LLC","2015",172434
"WAFERTECH LLC","2016",150759
"WAFERTECH LLC","2017",107172
"WAFERTECH LLC","2018",96815
"WAFERTECH LLC","2019",88223
"WAFERTECH LLC","2020",104942
"WAFERTECH LLC","2021",103949
"WAFERTECH LLC","2022",98160
"WAKE COUNTY GOVERNMENT","2016",110022
"WAKE COUNTY GOVERNMENT","2017",97571
"WAKE COUNTY GOVERNMENT","2018",93863
"WAKE COUNTY GOVERNMENT","2019",97738
"WAKE COUNTY GOVERNMENT","2020",99497
"WAKE COUNTY GOVERNMENT","2021",157525
"WAKE COUNTY GOVERNMENT","2022",149109
"WALLEYE POWER LLC","2019",865565
"WALLEYE POWER LLC","2020",1463656
"WALLEYE POWER LLC","2021",1309051
"WALLEYE POWER LLC","2022",1171021
"WALNUT ENERGY CENTER AUTHORITY","2010",673984
"WALNUT ENERGY CENTER AUTHORITY","2011",495930
"WALNUT ENERGY CENTER AUTHORITY","2012",644842
"WALNUT ENERGY CENTER AUTHORITY","2013",625108
"WALNUT ENERGY CENTER AUTHORITY","2014",650291
"WALTER ENERGY INC","2011",4600051
"WALTER ENERGY INC","2012",4840522
"WALTER ENERGY INC","2013",5124461
"WALTER ENERGY INC","2014",4292413
"WALTER ENERGY INC","2015",3945280
"WALTER OIL & GAS CORP","2017",35281
"WALTER OIL & GAS CORP","2018",32348
"WALTER OIL & GAS CORP","2019",15797
"WALTER OIL & GAS CORP","2020",82352
"WALTER OIL & GAS CORP","2021",75003
"WALTER OIL & GAS CORP","2022",101535
"WALTER SCOTT JR","2015",20250.378
"WALTER SCOTT JR","2016",17670.794
"WALTER SCOTT JR","2017",12035.044
"WALTER SCOTT JR","2018",39180.366
"WALTER SCOTT JR","2019",104157.714
"WALTER SCOTT JR","2020",101672.7529
"WALTER SCOTT JR","2021",17682.5601
"WALTER SCOTT JR","2022",15921.4514
"WALTON COUNTY POWER LLC","2016",194671
"WALTON COUNTY POWER LLC","2017",136843
"WALTON COUNTY POWER LLC","2018",189588
"WALTON COUNTY POWER LLC","2019",256013
"WALTON COUNTY POWER LLC","2020",170275
"WALTON COUNTY POWER LLC","2021",240092
"WALTON COUNTY POWER LLC","2022",420050
"WALTON COUNTY POWER, LLC","2011",206648
"WALTON COUNTY POWER, LLC","2012",217942
"WALTON COUNTY POWER, LLC","2013",72436
"WALTON COUNTY POWER, LLC","2014",121694
"WAPITI OPERATING LLC","2021",100252
"WAPITI OPERATING LLC","2022",101839
"WARBURG PINCUS LLC","2019",38630
"WARBURG PINCUS LLC","2020",20601
"WARBURG PINCUS LLC","2021",25236
"WARBURG PINCUS LLC","2022",36043
"WARD PETROLEUM CORP","2011",42604
"WARD PETROLEUM CORP","2012",43609
"WARD PETROLEUM CORP","2013",45441
"WARD PETROLEUM CORP","2014",37893
"WARD PETROLEUM CORP","2015",16501
"WARD PETROLEUM CORP","2016",44298
"WARD PETROLEUM CORP","2017",3508
"WARREN RESOURCES INC","2015",9139
"WARREN RESOURCES INC","2016",106612
"WARREN RESOURCES INC","2017",136433
"WARREN RESOURCES INC","2018",74299
"WARRIOR MET COAL INC","2020",2789464
"WARRIOR MET COAL INC","2021",2290905
"WARRIOR MET COAL INC","2022",1806184
"WARRIOR MET COAL LLC","2017",3766508
"WARRIOR MET COAL LLC","2018",3873960
"WARRIOR MET COAL LLC","2019",3100432
"WARWICK INVESTMENT GROUP","2022",27686
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2011",71094
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2012",45761
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2013",71955
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2014",79234
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2015",78864
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2016",61275
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2017",34227
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2018",40507
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2019",57323
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2020",31723
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2021",45979
"WASATCH INTEGRATED WASTE MANAGEMENT DISTRICT","2022",48019
"WASHINGTON COUNTY","2015",92273
"WASHINGTON COUNTY","2016",94534
"WASHINGTON COUNTY","2017",99159
"WASHINGTON COUNTY","2018",104685
"WASHINGTON COUNTY","2019",109084
"WASHINGTON COUNTY","2020",116577
"WASHINGTON COUNTY","2021",92839
"WASHINGTON COUNTY","2022",7005
"WASHINGTON COUNTY MARYLAND","2022",89153
"WASHINGTON COUNTY POWER LLC","2015",111862
"WASHINGTON COUNTY POWER LLC","2016",76272
"WASHINGTON COUNTY POWER LLC","2017",68558
"WASHINGTON COUNTY POWER LLC","2018",67717
"WASHINGTON COUNTY POWER LLC","2019",128420
"WASHINGTON COUNTY POWER LLC","2020",64413
"WASHINGTON COUNTY POWER LLC","2021",91781
"WASHINGTON COUNTY POWER LLC","2022",252301
"WASHINGTON MILLS ELECTRO MINERALS CORP","2011",141980
"WASHINGTON MILLS ELECTRO MINERALS CORP","2012",139396
"WASHINGTON MILLS ELECTRO MINERALS CORP","2013",118190
"WASHINGTON MILLS ELECTRO MINERALS CORP","2014",122596
"WASHINGTON MILLS ELECTRO MINERALS CORP","2015",114164
"WASHINGTON MILLS ELECTRO MINERALS CORP","2016",83169
"WASHINGTON MILLS ELECTRO MINERALS CORP","2017",109913
"WASHINGTON MILLS ELECTRO MINERALS CORP","2018",110436
"WASHINGTON MILLS GROUP INC","2019",106819
"WASHINGTON MILLS GROUP INC","2020",91091
"WASHINGTON MILLS GROUP INC","2021",102602
"WASHINGTON MILLS GROUP INC","2022",103565
"WASHINGTON PARISH GOVERNMENT","2015",29827
"WASHINGTON PARISH GOVERNMENT","2016",30099
"WASHINGTON PARISH GOVERNMENT","2017",42296
"WASHINGTON PARISH GOVERNMENT","2018",42831
"WASHINGTON POTATO CO","2022",25915
"WASHINGTON UNIVERSITY IN ST LOUIS","2015",35398
"WASHINGTON UNIVERSITY IN ST LOUIS","2016",37966
"WASHINGTON UNIVERSITY IN ST LOUIS","2017",36191
"WASHINGTON UNIVERSITY IN ST LOUIS","2018",33760
"WASHINGTON UNIVERSITY In St Louis","2011",36052
"WASHINGTON UNIVERSITY In St Louis","2012",32177
"WASHINGTON UNIVERSITY In St Louis","2013",35866
"WASHINGTON UNIVERSITY In St Louis","2014",36220
"WASTE COMMISSION OF SCOTT COUNTY","2015",78437
"WASTE COMMISSION OF SCOTT COUNTY","2016",69418
"WASTE COMMISSION OF SCOTT COUNTY","2017",88775
"WASTE COMMISSION OF SCOTT COUNTY","2018",100397
"WASTE COMMISSION OF SCOTT COUNTY","2019",10449
"WASTE COMMISSION OF SCOTT COUNTY","2020",11269
"WASTE COMMISSION OF SCOTT COUNTY","2021",9733
"WASTE COMMISSION OF SCOTT COUNTY IOWA","2022",8717
"WASTE CONNECTIONS","2018",257904
"WASTE CONNECTIONS INC","2011",13933
"WASTE CONNECTIONS INC","2012",48021
"WASTE CONNECTIONS INC","2013",233063
"WASTE CONNECTIONS INC","2014",237592
"WASTE CONNECTIONS INC","2015",4785927
"WASTE CONNECTIONS INC","2016",6477231
"WASTE CONNECTIONS INC","2017",7092391
"WASTE CONNECTIONS INC","2018",7196311
"WASTE CONNECTIONS INC","2019",1722974
"WASTE CONNECTIONS INC","2020",709115
"WASTE CONNECTIONS INC","2021",452139
"WASTE CONNECTIONS INC","2022",143429
"WASTE CONNECTIONS US INC","2019",6288495
"WASTE CONNECTIONS US INC","2020",4281955
"WASTE CONNECTIONS US INC","2021",4610082
"WASTE CONNECTIONS US INC","2022",4185770
"WASTE CONNECTIONS, INC","2011",1561838
"WASTE CONNECTIONS, INC","2012",1739606
"WASTE CONNECTIONS, INC","2013",2117507
"WASTE CONNECTIONS, INC","2014",3115025
"WASTE CORP OF AMERICA","2011",209041
"WASTE CORP OF AMERICA","2012",209534
"WASTE CORP OF MISSOURI","2011",145863
"WASTE CORP OF MISSOURI","2012",282535
"WASTE CORP OF MISSOURI","2013",266203
"WASTE CORP OF MISSOURI","2014",319073
"WASTE INDUSTRIES USA INC","2012",33093
"WASTE INDUSTRIES USA INC","2013",404446
"WASTE INDUSTRIES USA INC","2014",428780
"WASTE INDUSTRIES USA INC","2015",399273
"WASTE INDUSTRIES USA INC","2016",416221
"WASTE INDUSTRIES USA INC","2017",450131
"WASTE INDUSTRIES USA INC","2018",468466
"WASTE MANAGEMENT INC","2010",132282
"WASTE MANAGEMENT INC","2011",3317847
"WASTE MANAGEMENT INC","2012",3567428
"WASTE MANAGEMENT INC","2013",3707110
"WASTE MANAGEMENT INC","2014",14937993
"WASTE MANAGEMENT INC","2015",13963176
"WASTE MANAGEMENT INC","2016",12201589
"WASTE MANAGEMENT INC","2017",12157186
"WASTE MANAGEMENT INC","2018",12279440
"WASTE MANAGEMENT INC","2019",12714736
"WASTE MANAGEMENT INC","2020",14589736
"WASTE MANAGEMENT INC","2021",13168703
"WASTE MANAGEMENT INC","2022",13275334
"WASTE SERVICES OF BLUEGRASS","2011",60075
"WASTE SERVICES OF BLUEGRASS","2012",67562
"WASTE SERVICES OF BLUEGRASS","2013",74435
"WASTE SERVICES OF BLUEGRASS","2014",80965
"WASTE SERVICES OF BLUEGRASS","2015",123287
"WASTE SERVICES OF BLUEGRASS","2016",105693
"WASTE SERVICES OF BLUEGRASS","2017",120285
"WASTE SERVICES OF BLUEGRASS","2018",139676
"WASTE SERVICES OF THE BLUEGRASS LLC","2019",144232
"WASTE SERVICES OF THE BLUEGRASS LLC","2020",132425
"WASTE SERVICES OF THE BLUEGRASS LLC","2021",153637
"WASTE SERVICES OF THE BLUEGRASS LLC","2022",83849
"WATERVILLE GAS & OIL CO","2022",1215
"WATTAGE FINANCE - NC LLC","2021",490314
"WATTAGE FINANCE - NC LLC","2022",527795.72
"WAUSAU PAPER CORP","2011",716284
"WAUSAU PAPER CORP","2012",617028
"WAUSAU PAPER CORP","2013",173965
"WAUSAU PAPER CORP","2014",156557
"WAUSAU PAPER CORP","2015",142064
"WAUSAU PAPER CORP","2016",137888
"WAUSAU PAPER CORP","2017",138669
"WAYNE FARMS LLC","2015",75318
"WAYNE STATE UNIVERSITY","2011",46746
"WAYNE STATE UNIVERSITY","2012",39036
"WAYNE STATE UNIVERSITY","2013",36824
"WAYNE STATE UNIVERSITY","2014",38681
"WAYNE STATE UNIVERSITY","2015",36937
"WAYNE STATE UNIVERSITY","2016",37109
"WAYNE STATE UNIVERSITY","2017",35344
"WAYNE STATE UNIVERSITY","2018",39561
"WAYNE STATE UNIVERSITY","2019",35909
"WAYNE STATE UNIVERSITY","2020",31957
"WAYNE STATE UNIVERSITY","2021",36024
"WAYNE STATE UNIVERSITY","2022",36577
"WAYNE-SANDERSON FARMS","2022",28828
"WAYZATA INVESTMENT PARTNERS","2015",58336
"WCA WASTE CORP","2011",28172
"WCA WASTE CORP","2012",36006
"WCA WASTE CORP","2015",633919
"WCA WASTE CORP","2016",488660
"WCA WASTE CORP","2017",613015
"WCA WASTE CORP","2018",650209
"WCA WASTE CORP","2019",599668
"WCA WASTE CORP","2020",720367
"WCA WASTE CORP","2021",810911
"WCA Waste Corp","2013",9198
"WCA Waste Corp","2014",12014
"WCA Waste Corporation","2010",181034
"WCA Waste Corporation","2011",170967
"WCA Waste Corporation","2012",117597
"WCA Waste Corporation","2013",156894
"WCA Waste Corporation","2014",189857
"WEBCO INDUSTRIES INC","2021",32082
"WEBCO INDUSTRIES INC","2022",32082
"WEBER COUNTY","2015",39030
"WEBER COUNTY","2016",43853
"WEBER COUNTY","2017",45598
"WEBER COUNTY","2018",44789
"WEBSTER PARISH POLICE JURY","2015",46558
"WEBSTER PARISH POLICE JURY","2016",13165
"WEBSTER PARISH POLICE JURY","2017",20258
"WEBSTER PARISH POLICE JURY","2018",16624
"WEBSTER PARISH POLICE JURY","2019",21050
"WEBSTER PARISH POLICE JURY","2020",14363
"WEBSTER PARISH POLICE JURY","2021",16693
"WEC ENERGY GROUP","2015",24012020.48
"WEC ENERGY GROUP","2016",22593693.68
"WEC ENERGY GROUP","2017",22135866.32
"WEC ENERGY GROUP","2018",2290158
"WEC ENERGY GROUP","2019",506920
"WEC ENERGY GROUP Inc","2020",165807
"WEC ENERGY GROUP Inc","2021",167085
"WEC ENERGY GROUP Inc","2022",144076
"WEC Energy Group","2014",1226322
"WEC Energy Group","2015",5069876.46
"WEC Energy Group","2016",4593659.56
"WEC Energy Group","2017",5037579
"WEC Energy Group","2018",21901193.64
"WEC Energy Group","2019",19509160.56
"WEC Energy Group Inc","2020",18075543.72
"WEC Energy Group Inc","2021",19693414.08
"WEC Energy Group Inc","2022",17863718.96
"WELLESLEY COLLEGE","2011",37672
"WELLESLEY COLLEGE","2012",31919
"WELLESLEY COLLEGE","2013",32619
"WELLESLEY COLLEGE","2014",26707
