"","x"
"8869","SCHMOLZ + BICKENBACH USA INC"
"8870","SCHNITZER STEEL INDUSTRIES INC"
"8871","SCHUYLKILL ENERGY RESOURCES INC"
"8872","SCHUYLKILL ENERGY RESOURCES, INC"
"8873","SCI LLC"
"8874","SCI, LLC"
"8875","SCOGI GP"
"8876","SCOOP EXPRESS LLC"
"8877","SCOOP Express, LLC"
"8878","SCOTT, WALTER JR. c/o MIDAMERICAN ENERGY HOLDINGS COMPANY"
"8879","SCOUT ENERGY MANAGEMENT LLC"
"8880","SDW HOLDINGS CORP"
"8881","SE CHOCTAW LLC"
"8882","SE Choctaw LLC"
"8883","SEABOARD CORP"
"8884","SEABOARD ENERGY LLC"
"8885","SEACOR HOLDINGS INC"
"8886","SEACOR HOLDINGS, INC"
"8887","SEACOR Holdings, Inc."
"8888","SEARLES VALLEY MINERALS INC"
"8889","SEARLES VALLEY MINERALS, INC"
"8890","SEBASTIAN MINING CO LLC"
"8891","SECCRA"
"8892","SECCRA COMMUNITY LANDFILL"
"8893","SECCRA Community Landfill"
"8894","SEEIT District Energy LLC"
"8895","SEKISUI AMERICA CORP"
"8896","SELECT MILK PRODUCERS INC"
"8897","SEM OPERATING CO LLC"
"8898","SEMCO ENERGY INC"
"8899","SEMCO HOLDING CORP"
"8900","SEMGAS LP"
"8901","SEMGROUP CORP"
"8902","SEMICONDUCTOR COMPONENT INDUSTRIES"
"8903","SEMINOLE COUNTY BOARD OF COUNTY COMMISSIONERS"
"8904","SEMINOLE ELECTRIC COOPERATIVE INC"
"8905","SEMINOLE ELECTRIC COOPERATIVE, INC"
"8906","SEMINOLE PIPELINE CO LLC"
"8907","SEMPRA ENERGY"
"8908","SEMPRA ENERGY INC"
"8909","SENDERO MIDSTREAM PARTNERS LP"
"8910","SENECA NORTH AMERICAN COAL LLC"
"8911","SENECA NORTH AMERICAN COAL, LLC"
"8912","SENECA RESOURCES CORP"
"8913","SENSIENT TECHNOLOGIES CORP"
"8914","SENTINEL PEAK RESOURCES"
"8915","SENTINEL PEAK RESOURCES LLC"
"8916","SENTINEL PEAK RESOURCES, LLC"
"8917","SEPG MGA,LLC"
"8918","SEQUITUR EAST TEXAS LLC"
"8919","SET PERC INVESTMENT LLC"
"8920","SET PERC Investment LLC"
"8921","SEVERSTAL NORTH AMERICA, INC"
"8922","SEWARD COUNTY KANSAS"
"8923","SEWERAGE & WATER BOARD OF NEW ORLEANS"
"8924","SEXTON FAMILY PTNR LP"
"8925","SEYMOUR OF SYCAMORE INC"
"8926","SF HOLDING CORP"
"8927","SG SOLUTIONS LLC"
"8928","SGL AUTOMOTIVE CARBON FIBERS LLC"
"8929","SHD OIL & GAS LLC"
"8930","SHELBY COUNTY COMMISSION (LOCAL GOVERNMENT) ALABAMA"
"8931","SHELBY COUNTY ENERGY CENTER LLC"
"8932","SHELL CHEMICAL LP"
"8933","SHELL OIL CO"
"8934","SHELL PETROLEUM INC"
"8935","SHELL Petroleum Inc"
"8936","SHENANDOAH COUNTY VA"
"8937","SHERIDAN PRODUCTION CO LLC"
"8938","SHERWIN ALUMINA CO LLC"
"8939","SHILOH INDUSTRIES INC"
"8940","SHIN ETSU HANDOTAI CO LTD"
"8941","SHINTECH INC"
"8942","SHOOSMITH BROS INC"
"8943","SHORELINE ENERGY LLC"
"8944","SHOW ME ETHANOL LLC"
"8945","SHOW-ME ETHANOL LLC"
"8946","SHOW-ME ETHANOL, LLC"
"8947","SHOWA DENKO CARBON INC"
"8948","SHULTZ STEEL CO"
"8949","SI GROUP INC"
"8950","SI GROUP USA HOLDINGS (USHA) CORP"
"8951","SI Group"
"8952","SI Group, Inc (US)"
"8953","SI Group, Inc."
"8954","SID RICHARDSON CARBON & ENERGY CO"
"8955","SIEMENS CORP"
"8956","SIERRA PACIFIC INDUSTRIES"
"8957","SIGNAL HILL PETROLEUM INC"
"8958","SIKESTON BOARD OF MUNICIPAL UTILITIES"
"8959","SIKESTON BOARD OF MUNIPAL UTILITIES"
"8960","SILVER CREEK OIL & GAS LLC"
"8961","SILVER CREEK PERMIAN OPERATING CO LLC"
"8962","SILVERBACK MIDSTREAM LLC"
"8963","SILVERBOW RESOURCES INC"
"8964","SIMMONS FOODS INC"
"8965","SIMMONS PREPARED FOODS INC"
"8966","SIMPLOT BP IDAHO LLC"
"8967","SIOUXLAND ENERGY & LIVESTOCK COOPERATIVE"
"8968","SIOUXLAND ENERGY COOPERATIVE"
"8969","SIOUXLAND ETHANOL LLC"
"8970","SISECAM CHEMICALS USA INC"
"8971","SJV BIODIESEL LLC"
"8972","SK Battery America"
"8973","SK CAPITAL PARTNERS II LP"
"8974","SK CAPITAL PARTNERS LP"
"8975","SK CAPTITAL PARTNER II LP"
"8976","SK E&P"
"8977","SK NEMAHA LLC"
"8978","SK Nemaha, LLC"
"8979","SK PLYMOUTH LLC"
"8980","SKANA ALUMINUM CO"
"8981","SKYWATER TECHNOLOGY FOUNDRY INC"
"8982","SKYWORKS SOLUTIONS INC"
"8983","SLANT OPERATING LLC"
"8984","SLAWSON COMPANIES INC"
"8985","SLAWSON COS INC"
"8986","SM ENERGY CO"
"8987","SM Energy"
"8988","SM Energy Company"
"8989","SMARR EMC"
"8990","SMITHFIELD FOODS INC"
"8991","SMITHFIELD FOODS, INC"
"8992","SMURFIT KAPPA ORANGE COUNTY LLC"
"8993","SN EF MAVERICK LLC"
"8994","SN EF MAVERICK, LLC"
"8995","SNAKE RIVER SUGAR CO"
"8996","SNF HOLDING CO"
"8997","SNF Holding Company"
"8998","SNOHOMISH COUNTY"
"8999","SNYDER ASSOCIATED COMPANIES INC"
"9000","SNYDER ASSOCIATED COS INC"
"9001","SNYDER BROTHERS INC"
"9002","SOFIDEL AMERICA CORP"
"9003","SOJITZ BIRDSBORO LLC"
"9004","SOJITZ CORP OF AMERICA"
"9005","SOLAE, LLC"
"9006","SOLID WASTE AUTHORITY OF CENTRAL OHIO"
"9007","SOLID WASTE AUTHORITY OF PALM BEACH COUNTY"
"9008","SOLID WASTE AUTHORITY OF PALM BEACH COUNTY FLORIDA"
"9009","SOLID WASTE DISPOSAL AUTHORITY"
"9010","SOLID WASTE DIV CITY OF BILLINGS MONTANA"
"9011","SOLID WASTE MANAGEMENT AUTHORITY OF ATKINSON COUNTY"
"9012","SOLID WASTE MANAGEMENT COMMISSION OF MARSHALL COUNTY"
"9013","SOLID WASTE SERVICES INC"
"9014","SOLUTIA INC"
"9015","SOLVAY AMERICA INC"
"9016","SOLVAY CHEMICALS INC"
"9017","SOLVAY HOLDING INC"
"9018","SOLVAY SPECIALTY POLYMERS USA LLC"
"9019","SOLVAY SPECIALTY POLYMERS USA, LLC"
"9020","SONNEBORN LLC"
"9021","SONNEBORN, LLC"
"9022","SONOCO PRODUCTS CO"
"9023","SOUTH CAROLINA PUBLIC SERVICE AUTHORITY"
"9024","SOUTH CENTRAL IOWA LANDFILL AGENCY"
"9025","SOUTH CENTRAL IOWA LANDFILL AGENCY INC"
"9026","SOUTH CENTRAL IOWA SOLID WASTE AGENCY"
"9027","SOUTH CENTRAL SOLID WASTE AUTHORITY"
"9028","SOUTH DAKOTA SOYBEAN PROCESSORS LLC"
"9029","SOUTH FIELD ENERGY LLC"
"9030","SOUTH JERSEY INDUSTRIES INC"
"9031","SOUTH MISSISSIPPI ELECTRIC POWER ASSOC"
"9032","SOUTH STAGE LANDFILL INC"
"9033","SOUTH STAGE LANDFILL, INC"
"9034","SOUTH TEXAS ELECTRIC COOPERATIVE INC"
"9035","SOUTH TEXAS ELECTRIC COOPERATIVE, INC"
"9036","SOUTH UTAH VALLEY SOLID WASTE DISTRICT"
"9037","SOUTHCROSS ENERGY"
"9038","SOUTHCROSS ENERGY PARTNERS LLC"
"9039","SOUTHCROSS ENERGY PARTNERS LP"
"9040","SOUTHCROSS GATHERING, LTD"
"9041","SOUTHEAST BERRIEN COUNTY LANDFILL"
"9042","SOUTHEAST BERRIEN COUNTY LANDFILL AUTHORITY"
"9043","SOUTHEAST MINNESOTA ETHANOL COOP"
"9044","SOUTHEAST POWERGEN LLC"
"9045","SOUTHEASTERN PUBLIC SERVICE AUTHORITY"
"9046","SOUTHERN CALIFORNIA EDISON"
"9047","SOUTHERN CALIFORNIA PUBLIC POWER AUTHORITY"
"9048","SOUTHERN CO"
"9049","SOUTHERN CO GAS"
"9050","SOUTHERN HENS INC"
"9051","SOUTHERN IDAHO REGIONAL SOLID WASTE DISTRICT"
"9052","SOUTHERN ILLINOIS POWER COOPERATIVE"
"9053","SOUTHERN ILLINOIS UNIVERSITY"
"9054","SOUTHERN ILLINOIS UNIVERSITY SYSTEM"
"9055","SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE"
"9056","SOUTHERN MINNESOTA MUNICIPAL POWER AGENCY"
"9057","SOUTHERN NATURAL GAS CO, LLC"
"9058","SOUTHERN NEVADA WATER AUTHORITY"
"9059","SOUTHERN OKLAHOMA REGIONAL DISPOSAL INC"
"9060","SOUTHERN OKLAHOMA REGIONAL DISPOSAL, INC"
"9061","SOUTHERN UTE INDIAN TRIBE"
"9062","SOUTHHALL GROUP HOLDINGS LLC"
"9063","SOUTHLAND ROYALTY CO"
"9064","SOUTHSIDE REGIONAL PUBLIC SERVICE AUTHORITH"
"9065","SOUTHSIDE REGIONAL PUBLIC SERVICE AUTHORITHY"
"9066","SOUTHWEST CHEESE CO LLC"
"9067","SOUTHWEST ENERGY"
"9068","SOUTHWEST ENERGY LLC"
"9069","SOUTHWEST GAS CORP"
"9070","SOUTHWEST GAS HOLDINGS INC"
"9071","SOUTHWEST GAS STORAGE"
"9072","SOUTHWEST GENERATION OPERATING CO"
"9073","SOUTHWEST GENERATION OPERATING CO LLC"
"9074","SOUTHWEST IOWA RENEWABLE ENERGY"
"9075","SOUTHWEST IOWA RENEWABLE ENERGY LLC"
"9076","SOUTHWEST MENNESOTA AGRIFUELS LLC"
"9077","SOUTHWEST MINNESOTA AGRIFUELS, LLC"
"9078","SOUTHWEST TRANSMISSION COOPERATIVE CORP"
"9079","SOUTHWESTERN ELECTRIC COOPERATIVE INC"
"9080","SOUTHWESTERN ELECTRIC POWER CO (SWEPCO)"
"9081","SOUTHWESTERN ENERGY CO"
"9082","SOUTHWESTERN ENERGY CO INC"
"9083","SOUTHWESTERN PRODUCTION CORP"
"9084","SOUTHWIRE CO"
"9085","SOUTHWIRE CO LLC"
"9086","SOWEGA ENERGY RESOURCES LLC"
"9087","SP Fiber Technologies LLC"
"9088","SP Fiber Technologies Southeast, LLC"
"9089","SP NEWSPRINT HOLDING LLC"
"9090","SP Newsprint Co. LLC"
"9091","SP Newsprint Co., LLC"
"9092","SP Newsprint Holding LLC"
"9093","SPANGLER COMPANIES INC"
"9094","SPANGLER COS INC"
"9095","SPARTAN LIGHT METAL PRODUCTS INC"
"9096","SPARTANBURG COUNTY SC"
"9097","SPECTRA ENERGY"
"9098","SPECTRA ENERGY CORP"
"9099","SPECTRA ENERGY LLC"
"9100","SPIRE INC"
"9101","SPIRIT AEROSYSTEMS HOLDINGS INC"
"9102","SPOTSYLVANIA"
"9103","SPOTSYLVANIA COUNTY"
"9104","SPRAY PRODUCTS CORP"
"9105","SPRINGFIELD MISSOURI"
"9106","SPUR ENERGY PARTNERS HOLDINGS LLC"
"9107","SRC ENERGY INC"
"9108","SRI INTERNATIONAL"
"9109","SRI USA, Inc."
"9110","SSAB ENTERPRISES LLC"
"9111","SSAB Enterprises, LLC"
"9112","SSAB US HOLDING INC"
"9113","SSI Mgmt Co LLC"
"9114","ST BARBARA CEMENT INC"
"9115","ST BARBARA CEMENT, INC"
"9116","ST BARNABAS HOSPITAL"
"9117","ST CLAIR COUNTY"
"9118","ST CLAIR COUNTY MICHIGAN"
"9119","ST LANDRY PARISH WASTE DISPOSAL DISTRICT"
"9120","ST LUCIE COUNTY COMMISSIONERS"
"9121","ST MARY PARISH GOVERNMENT"
"9122","ST PAPER LLC"
"9123","ST Paper"
"9124","ST ROSE REFINERY LLC"
"9125","STAFFORD COUNTY VA"
"9126","STAKEHOLDER GAS SERVICES LLC"
"9127","STANDARD BINGHAMTON, LLC"
"9128","STANDARD ETHANOL LLC"
"9129","STANDARD STEEL LLC"
"9130","STANISLAUS FOOD PRODUCTS"
"9131","STANISLAUS FOOD PRODUCTS CO"
"9132","STANOLIND PRODUCTION LLC"
"9133","STANTON ENERGY RELIABILITY CENTER LLC"
"9134","STARK POWER GENERATION I HOLDINGS LLC"
"9135","STARK POWER GENERATION I HOLDINGS, LLC"
"9136","STARK THERMO LLC"
"9137","STARLIGHT RELATIVITY ACQUISITION CO LLC"
"9138","STARPET INC"
"9139","STARPET, INC"
"9140","STARRET CITY ASSOCIATES"
"9141","STARTEX FIELD SERVICES LLC"
"9142","STARWOOD CAPITAL GROUP"
"9143","STARWOOD CAPITAL GROUP LLC"
"9144","STARWOOD ENERGY GROUP"
"9145","STARWOOD ENERGY GROUP GLOBAL LLC"
"9146","STATE OF ALASKA"
"9147","STATE OF ARIZONA LAND DEPARTME"
"9148","STATE OF CALIFORNIA"
"9149","STATE OF CONNECTICUT"
"9150","STATE OF FLORIDA"
"9151","STATE OF ILLINOIS"
"9152","STATE OF INDIANA"
"9153","STATE OF KANSAS"
"9154","STATE OF LOUISIANA"
"9155","STATE OF MARYLAND"
"9156","STATE OF MINNESOTA"
"9157","STATE OF NEBRASKA"
"9158","STATE OF NEW JERSEY"
"9159","STATE OF NEW MEXICO"
"9160","STATE OF NORTH CAROLINA"
"9161","STATE OF NORTH DAKOTA"
"9162","STATE OF OHIO"
"9163","STATE OF OKLAHOMA (UNIVERSITY OF OKLAHOMA BOARD OF REGENTS)"
"9164","STATE OF OKLAHOMA EX REL THE BOARD OF REGENTS OF THE UNIVERSITY OF OKLAHOMA ON BEHALF OF THE HEALTH"
"9165","STATE OF SOUTH CAROLINA"
"9166","STATE OF UTAH"
"9167","STATE OF UTAH DIV OF WILDLIFE RESOURCES"
"9168","STATE OF WASHINGTON"
"9169","STATE OF WISCONSIN"
"9170","STATE OF WYOMING"
"9171","STATOIL GULF OF MEXICO LLC"
"9172","STATOIL TEXAS ONSHORE PROPERTIES, LLC"
"9173","STATOIL US HOLDINGS INC"
"9174","STEEL DUST RECYCLING LLC"
"9175","STEEL DYNAMICS INC"
"9176","STEEL DYNAMICS, INC"
"9177","STEEL DYNAMICS, INC."
"9178","STEELCASE INC"
"9179","STEELE COUNTY MINNESOTA"
"9180","STEELRIVER INFRASTRUCTURE PARTNERS LP"
"9181","STEPAN CO"
"9182","STEPHENS PRODUCTION CO"
"9183","STERLING ENERGY GROUP INC"
"9184","STERLING ETHANOL LLC"
"9185","STERLING ETHANOL, LLC"
"9186","STEUBEN COUNTY DEPARTMENT OF PUBLIC WORKS"
"9187","STEWARD ENERGY II LLC"
"9188","STINGRAY PIPELINE CO LLC"
"9189","STINGRAY PIPELINE CO, LLC"
"9190","STOELZLE GLASS USA INC"
"9191","STONE CANYON INDUSTRIES HOLDINGS LLC"
"9192","STONE ENERGY CORP"
"9193","STONE ENERGY CORPORATION"
"9194","STONEHENGE ENERGY RESOURCES LP"
"9195","STONEPEAK CERAMICS INC"
"9196","STONEPEAK INFRASTRUCTURE FUND II LP"
"9197","STRATEGIC MINERALS CORP"
"9198","STRATEGIC VALUE PARTNERS LLC"
"9199","STRONGHOLD DIGITIAL MINING"
"9200","STYROLUTION AMERICA LLC"
"9201","STYRON LLC"
"9202","STYROPEK USA INC"
"9203","SUBARU OF AMERICA INC"
"9204","SUBARU OF INDIANA AUTOMOTIVE INC"
"9205","SUBARU OF INDIANA AUTOMOTIVE, INC"
"9206","SUEZ ENERGY GENERATION NA INC"
"9207","SUEZ ENERGY GENERATION NORTH AMERICA INC"
"9208","SUEZ-DEGS of Tuscola, LLC"
"9209","SUGAR CANE GROWERS COOPERATIVE OF FLORIDA"
"9210","SUGAR GROWERS & REFINERS INC"
"9211","SUGAR Growers and Refiners, Inc"
"9212","SULLIVAN COUNTY"
"9213","SUMCO PHOENIX CORP"
"9214","SUMCO Phoenix Corporation"
"9215","SUMITOMO RUBBER USA LLC"
"9216","SUMMIT COUNTY"
"9217","SUMMIT COUNTY COLORADO"
"9218","SUMMIT MATERIALS INC"
"9219","SUMMIT MATERIALS LLC"
"9220","SUMMIT MATERIALS, LLC"
"9221","SUMMIT MIDSTREAM PARTNERS LLC"
"9222","SUMMIT MIDSTREAM PARTNERS LP"
"9223","SUMMIT MIDSTREAM PARTNERS, LLC"
"9224","SUMMIT PETROLEUM CORP"
"9225","SUMMIT PETROLEUM LLC"
"9226","SUMMIT UTILITIES INC"
"9227","SUMMIT UTILITIES, INC"
"9228","SUN CAPITAL"
"9229","SUN CAPITAL PARTNERS INC"
"9230","SUN CHEMICAL"
"9231","SUNBURY GENERATION LP"
"9232","SUNCOKE ENERGY"
"9233","SUNCOKE ENERGY INC"
"9234","SUNCOR ENERGY (USA) INC"
"9235","SUNDANCE ENERGY INC"
"9236","SUNDEVIL POWER HOLDINGS LLC"
"9237","SUNDEVIL POWER HOLDINGS, LLC"
"9238","SUNFLOWER ELECTRIC POWER CORP"
"9239","SUNNY FARMS LANDFILL, LLC"
"9240","SUNNYSIDE COGENERATION ASSOCIATES"
"9241","SUNOCO INC"
"9242","SUNOCO INC (R&M)"
"9243","SUNOCO PARTNERS MARKETING & TERMINALS L P"
"9244","SUNOCO PARTNERS MARKETING & TERMINALS LP"
"9245","SUNRISE COAL LLC"
"9246","SUPERIOR FORGE & STEEL CORP"
"9247","SUPERIOR INDUSTRIES INTERNATIONAL INC"
"9248","SUPERIOR PLUS CORP"
"9249","SUPERIOR REFINING CO LLC"
"9250","SURGE OPERATING LLC"
"9251","SURGE OPERATING, LLC"
"9252","SURRY COUNTY"
"9253","SURRY COUNTY NORTH CAROLINA"
"9254","SWEPI LP"
"9255","SWG Pipeline, LLC"
"9256","SWIFT ENERGY OPERATING LLC"
"9257","SWIFT ENERGY OPERATING, LLC"
"9258","SWINGER TRUCKING INC"
"9259","SYLVAMO NORTH AMERICA LLC"
"9260","SYMRISE INC"
"9261","SYNERGY RESOURCES CORP"
"9262","SYNGENTA CORP"
"9263","SYRACUSE UNIVERSITY"
"9264","Sabine Oil & Gas LLC"
"9265","Sabine Oil and Gas Corporation"
"9266","Sabine Parish Police Jury"
"9267","Sacramento Cogeneration Authority"
"9268","Sacramento Cogeration Authority"
"9269","Sacramento Municipal Utility District"
"9270","Sacramento Municipal Utility District Financing Authority"
"9271","Sacramento Power Authority"
"9272","Safety-Kleen Systems Inc."
"9273","Safety-Kleen Systems, Inc."
"9274","Saga Petroleum, LLC"
"9275","Saint Gobain North America"
"9276","Saint-Gobain"
"9277","Saint-Gobain Containers Inc"
"9278","Saint-Gobain Containers Inc."
"9279","Saint-Gobain Corporation"
"9280","Saint-Gobain Corporation North America Inc."
"9281","Saint-Gobain North America"
"9282","Salem County Improvement Authority"
"9283","Salem County Improvement Authority (SCIA)"
"9284","Salinas Valley Solid Waste Authority"
"9285","Salt Creek Midstream, LLC"
"9286","Salt Lake City Corporation"
"9287","Salt Lake County"
"9288","Salt River Pima Maricopa Indian Community"
"9289","Salt River Pima-Maricopa Indian Community"
"9290","Salt River Project"
"9291","Salt River Project Agricultural Improvement and Power District (100% Ownership of Unit 4 only)"
"9292","Sam Rayburn G&T"
"9293","Samchully Power & Utilities, LLC"
"9294","Sampson County"
"9295","Sampson County Disposal, LLC"
"9296","Samson Energy Company, LLC"
"9297","Samson Resources"
"9298","Samsung Austin Semiconductor"
"9299","Samuel Gary Jr. Associates, Inc."
"9300","San Bernardino County - Solid Waste Management Division"
"9301","San Bernardino County - Solida Waste Management Division"
"9302","San Bernardino Solid Waste Management Division"
"9303","San Diego County Department of Public Works"
"9304","San Diego Gas and Electric"
"9305","San Joaquin County Public Works Department"
"9306","San Joaquin Energy Company"
"9307","San Joaquin Refining Company, Inc."
"9308","San Mateo Midstream II, LLC"
"9309","San Miguel Electric Cooperative, Inc."
"9310","Sanchez Oil and Gas"
"9311","SandRidge Energy, Inc"
"9312","SandRidge Exploration and Production, LLC"
"9313","SandRidge Production and Exploration, LLC"
"9314","Sanders Lead Company"
"9315","Sanderson Farms, Inc."
"9316","Sandoval County, NM"
"9317","Sandoval County, New Mexico"
"9318","Sandridge Energy, Inc"
"9319","Sandridge Energy, Inc."
"9320","Sanguine Gas Exploration, LLC"
"9321","Sanimax USA Inc."
"9322","Sanofi Pasteur Inc."
"9323","Santa Barbara County Dept of Public Works"
"9324","Santa Barbara County, Department of Public Works, Resource Recovery & Waste Management"
"9325","Santa Fe Solid Waste Management Agency"
"9326","Santa Rosa Board of County Commissioners"
"9327","Santa Rosa County Board of County Commissioners"
"9328","Santee Cooper"
"9329","Santee Print Works Inc"
"9330","Sapa Extrusions, Inc."
"9331","Saputo Cheese USA Inc."
"9332","Sarasota County"
"9333","Sarasota County, FL"
"9334","Sarasota County, Fl"
"9335","Sarpy County"
"9336","Sarpy County, Nebraska"
"9337","Sasol North America Inc."
"9338","Sasol USA Corporation"
"9339","Saudi Refining INC"
"9340","Savannah River Nuclear Solutions, LLC"
"9341","Savant Alaska, LLC"
"9342","Sazerac CO INC"
"9343","Scala Energy LLC"
"9344","Schmolz & Bickenbach USA Holdings, Inc."
"9345","Schnitzer Steel Industries, Inc."
"9346","Schuylkill Energy Resources, Inc."
"9347","Scottsboro Solid Waste Authority"
"9348","Sd-Chemie Inc."
"9349","Seaboard Corporation"
"9350","Seaboard Energy, LLC"
"9351","Seagrave Fire Apparatus LLC"
"9352","Searles Valley Minerals, Inc."
"9353","Seattle Steam Company LLC"
"9354","Sebastian Mining Company, LLC"
"9355","Sekisui America Corp"
"9356","Select Milk Producers, INC"
"9357","SemGas, LP"
"9358","Semiconductor Component Industries"
"9359","Seminole County Board of County Commissioners"
"9360","Seminole Electric Cooperative, Inc."
"9361","Seminole Pipeline CO LLC"
"9362","Sempra Energy"
"9363","Sempra Generation"
"9364","Sempra REX Holdings, LLC"
"9365","Sempra U.S Gas & Power"
"9366","Sendero Midstream Partners, LP"
"9367","Seneca Landfill, Incorporated"
"9368","Seneca Power Partners, LP"
"9369","Seneca Resources Corporation"
"9370","Seneca Sustainable Energy, LLC"
"9371","Sensient Technologies Corporation"
"9372","Sentinel Peak Resources"
"9373","Sequitur East Texas LLC"
"9374","Seven Hills Paperboard, LLC"
"9375","Severstal North America, Inc."
"9376","Severstal Sparrows Point LLC"
"9377","Seward County Kansas"
"9378","Sewerage and Water Board of New Orleans"
"9379","Sexton Family Partnership, L.P."
"9380","Sexton Family Partnership, L.P. and GRG L.P."
"9381","Seymour of Sycamore, Inc."
"9382","Shapes/Arch Holdings LLC"
"9383","Shaw Industries Inc."
"9384","Shelby County Commission"
"9385","Shelby County Commission (Local Government), Alabama"
"9386","Shelby County Energy Center, LLC"
"9387","Shell Chemical LP"
"9388","Shell Oil Co."
"9389","Shell Oil Company"
"9390","Shell Oil Products US"
"9391","Shell Petroleum INCORPORATED"
"9392","Shell Petroleum Inc"
"9393","Shell Petroleum Inc."
"9394","Shell Petroleum Inc.  (Shell Chemical LP - Norco, LA)"
"9395","Shell Petroleum Inc. (Shell Chemical LP - Norco, LA)"
"9396","Shell Petroleum, Inc."
"9397","Shell USA"
"9398","Shenandoah County, VA"
"9399","Sheridan Production Comapny, LLC"
"9400","Sheridan Production Company, LLC"
"9401","Sherwin Alumina Company LLC"
"9402","Shiloh Industries Inc"
"9403","ShinEtsu Handotai"
"9404","Shoosmith Bros., Inc."
"9405","Shoreham Energy LLC"
"9406","Shoreline Energy LLC"
"9407","Show-Me Ethanol, LLC"
"9408","Showa Denko Carbon, Inc"
"9409","Showa Denko Carbon, Inc."
"9410","Shultz Steel Co"
"9411","Sid Richardson Carbon, Ltd."
"9412","Sierra Army Depot"
"9413","Sierra Pacific Industries"
"9414","Sierra Power Corporation"
"9415","Signal Hill Petroleum, Inc."
"9416","Signal Hill Power LLC"
"9417","Signal Hill Power Partners, LP"
"9418","Signal Hill Wichita Falls Power, LP"
"9419","Signify North America Corp"
"9420","Sikeston Board of Muncipal Utilities"
"9421","Sikeston Board of Munipal Utilities"
"9422","Silver Creek Permian Operating CO, LLC"
"9423","Silver Eagle Oil, Inc."
"9424","Silver Hill Energy Operating LLC"
"9425","Silverback Midstream, LLC"
"9426","Silverbow Resources Inc"
"9427","Simcoe LLC"
"9428","Simmons Foods, Inc."
"9429","Simmons Prepared Foods, Inc."
"9430","Simplot BP Idaho, LLC"
"9431","Simpson Investment Company"
"9432","Simpson Lumber Company LLC"
"9433","Sioux River Ethanol, LLC"
"9434","Siouxland Energy & Livestock Cooperative"
"9435","Siouxland Ethanol, LLC"
"9436","Skana Aluminum Co."
"9437","Skull Valley Band of Goshute Indians"
"9438","Sky Quarry INC"
"9439","Skyworks Solutions, Inc."
"9440","Slawson Companies, Inc."
"9441","Smarr EMC"
"9442","Smith Beecham Corporation"
"9443","Smithfield Foods"
"9444","Smithfield Foods, Inc"
"9445","Smithfield Packing Company, Inc"
"9446","Smithfield Packing Company, Inc."
"9447","Smurfit Kappa Orange County LLC"
"9448","Snake River Sugar Company"
"9449","Snohomish County"
"9450","Snyder Associated Companies, Inc"
"9451","Snyder Associated Companies, Inc."
"9452","Snyder Brothers INC"
"9453","Snyder Brothers Inc"
"9454","Society of the Divine Word and the Missionary Sister Servants of the Holy Spirit"
"9455","Sofidel America"
"9456","Sojitz Birdsboro LLC"
"9457","Sojitz Corp of America"
"9458","Solae LLC"
"9459","Solae, LLC"
"9460","Solid Waste Authority of Central Ohio"
"9461","Solid Waste Authority of Palm Beach County"
"9462","Solid Waste Disposal Authority"
"9463","Solid Waste Division, City of Billings, Montana"
"9464","Solid Waste Division, City of Bllings, Montana"
"9465","Solid Waste Management Authority of Atkinson County"
"9466","Solid Waste Management Commission of Marshall County"
"9467","Solid Waste Management Company of Atkinson County"
"9468","Solutia Inc."
"9469","Solvay Advanced Polymers, LLC"
"9470","Solvay America"
"9471","Solvay Chemicals, Inc."
"9472","Solvay Holding Inc"
"9473","Solvay Solexis, Inc."
"9474","Solvay Specialty Polymers USA, LLC"
"9475","Solvay USA Inc."
"9476","Sonneborn, LLC"
"9477","Sonoco"
"9478","Sonoco P"
"9479","Sonoco Prodcuts Company"
"9480","Sonoco Products COmpany"
"9481","Sonoco Products Company"
"9482","South Beaumont Farms"
"9483","South Carolina Public Service Authority"
"9484","South Central Coal Company, Inc."
"9485","South Central Iowa Landfill Agency"
"9486","South Central Iowa Solid Waste Agency"
"9487","South Central Solid Waste Authority"
"9488","South Dakota Soybean Processors, LLC"
"9489","South Field Energy LLC"
"9490","South Mississippi Electric Power Association"
"9491","South Stage Landfill, Inc."
"9492","South Texas Electric Cooperative, Inc."
"9493","South Utah Valley Solid Waste District"
"9494","Southcross Gathering, Ltd"
"9495","Southcross Processing LLC"
"9496","Southeast Berrien County Landfill Authority"
"9497","Southeast Minnesota Ethanol Coop"
"9498","Southeastern Pennsylvania Transportation Authority"
"9499","Southeastern Public Service Authority"
"9500","Southern California Edison"
"9501","Southern Company"
"9502","Southern Hens, Inc."
"9503","Southern Idaho Regional Solid Waste District"
"9504","Southern Illinois Power Coperative"
"9505","Southern Illinois University"
"9506","Southern Minnesota Beet Sugar Cooperative"
"9507","Southern Minnesota Municipal Power Agency"
"9508","Southern Montana Electric Generation and Transmission Cooperative, Inc."
"9509","Southern Nevada Water Authority"
"9510","Southern Oklahoma Regional Disposal, Inc."
"9511","Southern Star Acquisition Corp"
"9512","Southern Star Central Corp"
"9513","Southern Union Company"
"9514","Southern Union Gas Services"
"9515","Southern Union Gas Services, Ltd."
"9516","Southern Union Pipeline, Ltd."
"9517","Southern Ute Indian Tribe"
"9518","Southernc Company"
